Training | Average loss 4.4850 kld 54.9124 kld1 46.8049 kld2 1.2472 kld3 6.8602 elem_type_num 0.0853 elem_type 0.0069 elem_num 0.0419 lattice 0.0023 coord 0.3580 elem_type_num_acc 0.9782, elem_type_acc 0.9989 elem_type_recall 0.9865 elem_num_acc 0.9921 elem_type_match 0.9341 elem_num_match 0.9717 comp_match 0.9222
Training | Average loss 4.5195 kld 54.0103 kld1 46.0434 kld2 1.2113 kld3 6.7555 elem_type_num 0.0788 elem_type 0.0065 elem_num 0.0406 lattice 0.0022 coord 0.3641 elem_type_num_acc 0.9816, elem_type_acc 0.9988 elem_type_recall 0.9860 elem_num_acc 0.9928 elem_type_match 0.9324 elem_num_match 0.9734 comp_match 0.9212
Training | Average loss 4.4132 kld 53.1206 kld1 45.4420 kld2 1.1175 kld3 6.5612 elem_type_num 0.0778 elem_type 0.0063 elem_num 0.0391 lattice 0.0021 coord 0.3554 elem_type_num_acc 0.9819, elem_type_acc 0.9989 elem_type_recall 0.9874 elem_num_acc 0.9914 elem_type_match 0.9384 elem_num_match 0.9687 comp_match 0.9226
Training | Average loss 4.3649 kld 53.1377 kld1 45.7103 kld2 1.1187 kld3 6.3088 elem_type_num 0.0759 elem_type 0.0062 elem_num 0.0394 lattice 0.0020 coord 0.3512 elem_type_num_acc 0.9819, elem_type_acc 0.9990 elem_type_recall 0.9884 elem_num_acc 0.9919 elem_type_match 0.9405 elem_num_match 0.9705 comp_match 0.9252
Training | Average loss 4.4066 kld 52.8040 kld1 45.6994 kld2 1.0714 kld3 6.0333 elem_type_num 0.0765 elem_type 0.0060 elem_num 0.0365 lattice 0.0020 coord 0.3565 elem_type_num_acc 0.9845, elem_type_acc 0.9991 elem_type_recall 0.9892 elem_num_acc 0.9935 elem_type_match 0.9462 elem_num_match 0.9760 comp_match 0.9342
Training | Average loss 4.3189 kld 51.5536 kld1 44.6731 kld2 1.0832 kld3 5.7973 elem_type_num 0.0645 elem_type 0.0059 elem_num 0.0343 lattice 0.0019 coord 0.3509 elem_type_num_acc 0.9827, elem_type_acc 0.9990 elem_type_recall 0.9879 elem_num_acc 0.9923 elem_type_match 0.9442 elem_num_match 0.9721 comp_match 0.9270
Training | Average loss 4.3142 kld 51.0157 kld1 44.4666 kld2 1.0259 kld3 5.5232 elem_type_num 0.0672 elem_type 0.0056 elem_num 0.0331 lattice 0.0019 coord 0.3517 elem_type_num_acc 0.9819, elem_type_acc 0.9990 elem_type_recall 0.9869 elem_num_acc 0.9935 elem_type_match 0.9403 elem_num_match 0.9761 comp_match 0.9271
Training | Average loss 4.2637 kld 50.3459 kld1 44.3023 kld2 0.9911 kld3 5.0525 elem_type_num 0.0649 elem_type 0.0056 elem_num 0.0320 lattice 0.0017 coord 0.3477 elem_type_num_acc 0.9841, elem_type_acc 0.9991 elem_type_recall 0.9893 elem_num_acc 0.9938 elem_type_match 0.9495 elem_num_match 0.9775 comp_match 0.9366
Training | Average loss 4.2647 kld 49.3254 kld1 43.9201 kld2 0.9447 kld3 4.4606 elem_type_num 0.0612 elem_type 0.0054 elem_num 0.0305 lattice 0.0015 coord 0.3503 elem_type_num_acc 0.9852, elem_type_acc 0.9991 elem_type_recall 0.9884 elem_num_acc 0.9932 elem_type_match 0.9487 elem_num_match 0.9754 comp_match 0.9322
Training | Average loss 4.2136 kld 48.4106 kld1 43.4656 kld2 0.9435 kld3 4.0015 elem_type_num 0.0544 elem_type 0.0053 elem_num 0.0284 lattice 0.0012 coord 0.3477 elem_type_num_acc 0.9880, elem_type_acc 0.9990 elem_type_recall 0.9879 elem_num_acc 0.9924 elem_type_match 0.9439 elem_num_match 0.9717 comp_match 0.9244
Training | Average loss 4.1630 kld 47.4659 kld1 42.7355 kld2 0.9212 kld3 3.8092 elem_type_num 0.0499 elem_type 0.0050 elem_num 0.0267 lattice 0.0011 coord 0.3450 elem_type_num_acc 0.9853, elem_type_acc 0.9990 elem_type_recall 0.9887 elem_num_acc 0.9941 elem_type_match 0.9446 elem_num_match 0.9780 comp_match 0.9314
